nombre;descripcion
Látigo de Rathalos Plateado;Material muy raro de Rathalos Plateado, obtenido cortando su cola cercenada. Compatible con el fuego.
Destello de Rath;Material muy raro de Rathian o Rathalos, obtenido rompiéndoles el cráneo.
Caparazón de Diablos;Material de Diablos, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Coraza de Diablos;Raro material de Diablos, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Córtex de Diablos;Material muy raro de Diablos, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Cresta de Diablos;Material de Diablos, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Cresta de Diablos+;Raro material de Diablos, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Espinazo de Diablos;Material muy raro de Diablos, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Colamen de Diablos;Material de Diablos, obtenido cortando su cola cercenada. Robusto y difícil de trabajar.
Colamen de Diablos+;Material muy raro de Diablos, obtenido cortando su cola cercenada. Robusto y difícil de trabajar.
Colmillo de Diablos;Material de Diablos, obtenido sobre todo cortándolo tras abatirlo. Afilado y útil para crear armas.
Cuerno retorcido;Material de Diablos, obtenido rompiéndole los cuernos. Útil por su tenacidad.
Cuerno majestuoso;Raro material de Diablos, obtenido rompiéndole los cuernos. Robusto, útil para crear armas.
Pitón sólido;Material muy raro de Diablos, obtenido rompiéndole los cuernos. Robusto, útil para crear armas.
Asta de Diablos;Material muy raro de Diablos y de sus subespecies. Obtenido tras romperle los cuernos.
Médula de Diablos;Material de Diablos. Un hallazgo útil, ya que es difícil de encontrar y se usa para fortificar equipo.
Médula de Blos;Raro material de Diablos. Un hallazgo útil, ya que es difícil de encontrar y se usa para fortificar equipo.
Coraza de Diablos Negra;Raro material de Diablos Negra, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Córtex de Diablos Negra;Material muy raro de Diablos Negra, obtenido sobre todo cortándola tras abatirla. Tiene usos muy diversos.
Cresta de Diablos Negra+;Raro material de Diablos Negra, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Espinazo de Diablos Negra;Material muy raro de Diablos Negra, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Colmillo negro en espiral+;Raro material de Diablos Negra, obtenido rompiéndole los cuernos. Usado en armas por su durabilidad.
Pitón enroscado;Material muy raro de Diablos Negra, obtenido rompiéndole los cuernos. Usado en armas por su durabilidad.
Escama de Dodogama+;Raro material de Dodogama, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Esquirla de Dodogama;Material muy raro de Dodogama, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Piel de Dodogama+;Raro material de Dodogama, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Piel gruesa de Dodogama;Material muy raro de Dodogama, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Mandíbula de Dodogama;Raro material de Dodogama, obtenido al romperle el cráneo. Raro, y difícil de trabajar.
Mandíbula de Dodogama;Material muy raro de Dodogama, obtenido al romperle el cráneo. Raro, y difícil de trabajar.
Garra de Dodogama;Raro material de Dodogama, obtenido al romper sus patas delanteras. Pesado, pero útil para armas.
Garra dura de Dodogama;Material muy raro de Dodogama, obtenido de sus patas delanteras. Pesado, pero útil para crear armas.
Cola de Dodogama;Raro material de Dodogama, obtenido cortando su cola cercenada. Resistente y usado en muchas armas.
Látigo de Dodogama;Material muy raro de Dodogama, obtenido cortando su cola cercenada. Resistente y usado en muchas armas.
Escama de Lavasioth+;Raro material de Lavasioth, a menudo obtenido cortándolo tras abatirlo. Tiene muchas utilidades.
Esquirla de Lavasioth;Material muy raro de Lavasioth, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Coraza de Lavasioth;Raro material de Lavasioth, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Córtex de Lavasioth;Material muy raro de Lavasioth, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Colmillo de Lavasioth+;Raro material de Lavasioth, obtenido al romperle el cráneo. Afilado, útil para crear armas.
Colmillo duro de Lavasioth;Material muy raro de Lavasioth, obtenido al romperle el cráneo. Afilado, útil para crear armas.
Aleta de Lavasioth+;Raro material de Lavasioth. Se obtiene rompiendo su aleta dorsal y tiene muchas aplicaciones.
Gran aleta de Lavasioth;Material muy raro de Lavasioth, obtenido rompiendo su aleta dorsal. Tiene muchas aplicaciones.
Escama de Uragaan+;Raro material de Uragaan, a menudo obtenido cortándolo tras abatirlo. Tiene muchas utilidades.
Esquirla de Uragaan;Material muy raro de Uragaan, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Coraza de Uragaan;Raro material de Uragaan, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Córtex de Uragaan;Material muy raro de Uragaan, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Mandíbula de Uragaan;Raro material de Uragaan, obtenido rompiéndole la mandíbula. Raro, para equipo muy selecto.
Mandíbula de Uragaan+;Material muy raro de Uragaan, obtenido rompiéndole la mandíbula. Raro, para equipo muy selecto.
Peto de Uragaan;Raro material de Uragaan, obtenido al cortar su cola cercenada. Resistente al calor, útil para equipo.
Peto de Uragaan+;Material muy raro de Uragaan, obtenido de su cola cercenada. Resistente al calor, útil para equipo.
Tuétano de Uragaan;Raro material de Uragaan. Un hallazgo útil, ya que es difícil de encontrar y se usa para fortificar equipo.
Rubí de Uragaan;Extraña joya formada entre los tejidos del Uragaan. Se usa para mejoras de equipo extraordinarias.
Palio de Uragaan;Material muy raro de Uragaan. Se usa para armas tan poderosas que podrían conquistar el mundo.
Pepita de lava;Un extraño bulto metálico encontrado en la piel de un Uragaan. Compuesto de varios minerales fundidos.
Córtex de Barioth;Material muy raro de Barioth, obtenido sobre todo cortándolo tras abatirlo. Sólido, útil para equipo.
Pelaje de Barioth;Material muy raro de Barioth, obtenido como recompensa. Tiene usos muy diversos.
Garra dura de Barioth;Material muy raro de Barioth, obtenido cortándolo tras abatirlo. Afilado y útil para armas.
Púa gigante de Barioth;Material muy raro de Barioth. Obtenido rompiéndole las alas. Sólido, útil para muchas armas.
Látigo de Barioth;Material muy raro de Barioth, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Colmillo duro de ámbar;Material muy raro de Barioth, obtenido al romperle el cráneo. Afilado, útil para crear armas.
Piel de nieve plateada;Material muy raro de Barioth Cynodon, obtenido a menudo como recompensa. Tiene muchas utilidades.
Garra rompehielo;Material muy raro de Barioth Cynodon, obtenido como recompensa o cortando. Afilado, útil para crear armas.
Colmillo de hielo plateado;Material muy raro de Barioth Cynodon, obtenido al romperle el cráneo. Afilado, útil para crear armas.
Esquirla de Nargacuga;Material muy raro de Nargacuga, obtenido cortándolo tras abatirlo. Sólido, útil para crear equipo.
Pelaje negro de Nargacuga+;Material muy raro de Nargacuga, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Látigo de Nargacuga;Material muy raro de Nargacuga, obtenido al cortar su cola cercenada. Rígido, útil para crear equipo.
Colapúa de Nargacuga;Material muy raro de Nargacuga, obtenido sobre todo al desprenderse del monstruo. Tiene muchos usos.
Cuchilla de Nargacuga+;Material muy raro de Nargacuga, obtenido al romperle las alas. Afilado, útil para crear armas.
Colmillo duro de Nargacuga;Material muy raro de Nargacuga, obtenido al romperle el cráneo. Sólido y útil para crear armas.
Manto de Nargacuga;Material muy raro de Nargacuga. Se usa para armas tan poderosas que podrían conquistar el mundo.
Esquirla de Tigrex;Material muy raro de Tigrex, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Córtex de Tigrex;Material muy raro de Tigrex, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Látigo de Tigrex;Material muy raro de Tigrex, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Garra dura de Tigrex;Material muy raro de Tigrex, obtenido de sus patas delanteras. Afilado y útil para crear armas.
Colmillo duro de Tigrex;Material muy raro de Tigrex, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Manto de Tigrex;Material muy raro de Tigrex. Se usa para armas tan poderosas que podrían conquistar el mundo.
Esquirla de Tigrex Pardo;Material muy raro de Tigrex Pardo, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Córtex de Tigrex Pardo;Material muy raro de Tigrex Pardo, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Garra dura de Tigrex Pardo;Material muy raro de Tigrex Pardo, obtenido de sus patas delanteras. Se usa en diferentes armas.
Colmillo duro de Tigrex Pardo;Material muy raro de Tigrex Pardo, obtenido rompiéndole el cráneo. Se usa en diferentes armas.
Esquirla de Glavenus;Material muy raro de Glavenus, obtenido sobre todo cortándolo tras abatirlo. Sólido, útil para equipo.
Córtex de Glavenus;Material muy raro de Glavenus, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Colmillo duro de Glavenus;Material muy raro de Glavenus, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Caparazón infernal de Glavenus;Material muy raro de Glavenus. Obtenido rompiéndole el lomo. Se usa para equipo resistente al calor.
Punta de cola de Glavenus;Material muy raro de Glavenus, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Bolsa magmática;Material muy raro de Glavenus, obtenido tras desprenderse del monstruo. Para equipo muy selecto.
Manto de Glavenus;Material muy raro de Glavenus. Se usa para armas tan poderosas que podrían conquistar el mundo.
Esquirla de Glavenus Acídico;Material muy raro de Glavenus Acídico, obtenido sobre todo tras cortarlo. Sólido, útil para crear equipo.
Córtex de Glavenus Acídico;Material muy raro de Glavenus Acídico, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Colmillo duro de Glavenus Acídico;Material muy raro de Glavenus Acídico, obtenido rompiéndole el cráneo. Se usa para crear diferentes armas.
Caparazón púas Glavenus Acídico;Material muy raro de Glavenus Acídico, obtenido rompiéndole el lomo. Útil para crear equipo.
Punta de cola Glavenus Acídico;Material muy raro de Glavenus Acídico, obtenido rompiéndole el cráneo. Útil para crear equipo.
Cristalácido refinado;Material muy raro de Glavenus Acídico, obtenido al desprenderse de él. Raro, útil para crear equipo.
Córtex de Brachydios;Material muy raro de Brachydios, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Ébano perfecto de Brachydios;Material muy raro de Brachydios, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Corona de Brachydios;Material muy raro de Brachydios, obtenido rompiéndole el cráneo. Rígido, se usa para crear armas.
Baba brillante;Material muy raro de Brachydios, obtenido al desprenderse del monstruo. Tiene muchas utilidades.
Mazo de Brachydios+;Material muy raro de Brachydios, obtenido rompiéndole las patas. Sólido, útil para crear equipo.
Látigo de Brachydios;Material muy raro de Brachydios, obtenido cortando su cola cercenada. Rígido, se usa para crear equipo.
Palio de Brachydios;Material muy raro de Brachydios, Se usa para armas tan poderosas que podrían conquistar el mundo.
Caparacébano indestructible;Material muy raro de Brachydios Colérico. No hay material más sólido: puede resistir cualquier explosión.
Ojiva Brach;Material muy raro de Brachydios Colérico. Un cráneo que la ira ha transformado en algo mucho peor.
Baba detonante;Material muy raro de Brachydios Colérico. Pocas cosas son tan volátiles como esta baba roja de Brachydios.
Desintegrador Brach;Material muy raro de Brachydios Colérico. Tiene un núcleo capaz de desintegrar al objetivo en un instante.
Reactor inmortal;Material muy raro de Brachydios Colérico. Un raro órgano que vuelve la baba aún más volátil en caso de peligro.
Esquirla de Garuga;Material de Yian Garuga muy raro, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Córtex de Garuga;Material de Yian Garuga muy raro, obtenido como recompensa. Sólido, útil para crear equipo.
Aurícula de Garuga;Material de Yian Garuga muy raro, obtenido rompiéndole el cráneo. Flexible, útil para crear equipo.
Pico llamativo;Material de Yian Garuga muy raro, obtenido al romperle el cráneo. Robusto, útil para crear armas.
Aladura de Garuga;Material de Yian Garuga muy raro, obtenido rompiéndole las alas. Flexible, útil para crear equipo.
Látigo de Garuga;Material de Yian Garuga muy raro, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Argentopiel de Garuga;Material de Yian Garuga muy raro, obtenido al romperle el lomo. Tiene muchas propiedades.
Caparazón rayado;Muy raro, de Yian Garuga Naevus. Suele obtenerse como recompensa. Un material especial, muy duro.
Córtex de Zinogre;Material de Zinogre muy raro, obtenido a menudo como recompensa. Sólido, útil para crear equipo.
Electropelo de Zinogre+;Material de Zinogre muy raro, obtenido a menudo como recompensa. Sólido, útil para crear equipo.
Cuerno duro de Zinogre;Material de Zinogre muy raro, obtenido al romperle el cráneo. Robusto, útil para crear armas.
Garra dura de Zinogre;Material de Zinogre raro obtenido al romperle las patas delanteras. Afilado y útil para crear armas.
Látigo Zinogre;Material de Zinogre muy raro, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Electrificador letal Zinogre;Raro material de Zinogre, obtenido cortándolo tras abatirlo. Compatible con el elemento rayo.
Lumiarañas;Material muy raro de Zinogre, obtenido con la red tras derribarlo. Compatible con el elemento rayo.
Cielada Zinogre;Material de Zinogre raro. Se utiliza para crear armas tan poderosas como para conquistar el mundo.
Córtex de Zinogre Estigio;Material muy raro de Zinogre Estigio, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Crin de Zinogre Estigio;Material muy raro de Zinogre Estigio, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Asta de Zinogre Estigio;Material muy raro de Zinogre Estigio, obtenido al romperle el cráneo. Robusto, útil para crear armas.
Garra dura de Zinogre Estigio;Material muy raro de Zinogre Estigio, obtenido de las patas delanteras. Afilado y útil para crear armas.
Látigo de Zinogre Estigio;Material muy raro de Zinogre Estigio, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Dracáscara de Zinogre Estigio;Material muy raro de Zinogre Estigio, obtenido sobre todo cortándolo tras abatirlo. Compatible con elemento draco.
Bicho dracófago;Material muy raro de Zinogre Estigio, recolectable cuando derribas a la bestia. Tiene propiedades de elemento draco.
Cielada de Zinogre Estigio;Material muy raro de Zinogre Estigio. Se usa para armas tan poderosas que podrían conquistar el mundo.
Escama de Bazelgeuse+;Raro material de Bazelgeuse, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Esquirla de Bazelgeuse;Material raro de Bazelgeuse Magma obtenido principalmente cortándolo tras abatirlo. Tiene múltiples usos.
Coraza de Bazelgeuse;Raro material de Bazelgeuse, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Caparazón de plata brillante;Raro material de Bazelgeuse Magma, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Cola de Bazelgeuse;Raro material de Bazelgeuse, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Flagelo de Bazelgeuse;Material de Bazelgeuse Magma raro obtenido cortando su cola cercenada. Útil para crear equipo.
Espoleta de Bazelgeuse;Raro material de Bazelgeuse, obtenido al romperle el cráneo. Añade resistencia al nitro.
Fluido nitro destilado;Raro material de Bazelgeuse Magma, obtenido al romperle el cráneo. Compatible con el elemento nitro.
Garra de Bazelgeuse;Raro material de Bazelgeuse, obtenido sobre todo cortándolo tras abatirlo. Compatible con elemento nitro.
Garra dura de Bazelgeuse;Raro material de Bazelgeuse Magma, hallado sobre todo cortándolo tras abatirlo. Compatible con nitro.
Ala de Bazelgeuse;Raro material de Bazelgeuse, obtenido al romperle las alas. Usado en armas por su dureza.
Alaplata abrasadora;Material de Bazelgeuse Magma raro, obtenido rompiéndole las alas. Útil para crear armas diversas.
Gema de Bazelgeuse;Una rara gema formada entre los tejidos de un Bazelgeuse. Se usa para grandes mejoras de equipo.
Manto de Bazelgeuse;Material de Bazelgeuse Magma raro. Con él se crean armas tan poderosas como para conquistar el mundo.
Escama de Deviljho;Raro material de Deviljho, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Esquirla de Deviljho;Material de Deviljho Salvaje muy raro, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Piel de Deviljho;Raro material de Deviljho, obtenido sobre todo como recompensa. Flexible, útil para crear equipo.
Piel negra de Deviljho;Material de Deviljho Salvaje muy raro, obtenido sobre todo como recompensa. Flexible, útil para crear equipo.
Colmillo de Deviljho;Raro material de Deviljho, obtenido al romperle el cráneo. Robusto, útil para crear armas.
Colmillo feroz;Material de Deviljho Salvaje muy raro, obtenido al romperle el cráneo. Útil para crear armas.
Garra de Deviljho;Raro material de Deviljho, obtenido sobre todo cortándolo tras abatirlo. Compatible con el elemento draco.
Destripadora de Deviljho;Material de Deviljho Salvaje muy raro, obtenido al cortarlo tras abatirlo. Compatible con el elemento draco.
Cráneo de Deviljho;Raro material de Deviljho, obtenido al romperle el cráneo. Raro, para equipo muy selecto.
Cola de Deviljho;Raro material de Deviljho, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Flagelo de Deviljho;Material de Deviljho Salvaje muy raro, obtenido cortando su cola cercenada. Útil para crear equipo.
Saliva de Deviljho;Raro material de Deviljho, obtenido tras dejarlo caer el monstruo. Raro, y difícil de trabajar.
Sangre negra;Material de Deviljho Salvaje muy raro, obtenido al dejarlo caer la bestia. Raro, y difícil de trabajar.
Gema de Deviljho;Extraña joya formada entre los tejidos del Deviljho. Se usa para mejoras de equipo extraordinarias.
Cayado de Deviljho;Material de Deviljho Salvaje muy raro. Se usa para crear armas tan poderosas como para conquistar el mundo.
Asta de Rajang;Material muy raro de Rajang, obtenido al romperle los cuernos. Robusto, útil para crear armas.
Colmillo duro de Rajang;Material muy raro de Rajang, obtenido sobre todo cortándolo tras abatirlo. Afilado y útil para armas.
Pelaje Rajang negro;Material muy raro de Rajang, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Garra dura de Rajang;Material muy raro de Rajang, obtenido al romperle las patas delanteras. Afilado y útil para crear armas.
Cola de Rajang;Material muy raro de Rajang, obtenido al romperle la cola. Rígido y útil para crear equipo.
Piel de Rajang+;Material muy raro de Rajang, Difícil de obtener, pero aumenta mucho la efectividad del equipo.
Melena de Rajang;Material muy raro de Rajang Rabioso. Una larga y hermosa melena que a su vez es difícil de cortar.
Cuerno dorado espectral;Material muy raro de Rajang Rabioso, Un cuerno dorado que, incluso roto, rebosa con la furia de un Rajang.
Corazón de Rajang;Material muy raro de Rajang Rabioso. La furia con la que desgarra la carne demuestra su poder con cada golpe.
Piel de Kirin;Material de Kirin, a menudo obtenido cortándolo tras abatirlo. Tiene muchas utilidades.
Piel de Kirin+;Raro material de Kirin, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Piel de Kirin especial;Material muy raro de Kirin, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Cola de Kirin;Material de Kirin, obtenido a menudo como recompensa. Compatible con el elemento rayo.
Cola rayo de Kirin;Raro material de Kirin, obtenido a menudo como recompensa. Compatible con el elemento rayo.
Cola rayo de Kirin+;Material muy raro de Kirin, obtenido a menudo como recompensa. Compatible con el elemento rayo.
Crin de Kirin;Material de Kirin, a menudo obtenido cortándolo tras abatirlo. Muy resistente al rayo.
Crin plateada de Kirin;Material muy raro de Kirin, obtenido sobre todo cortándolo. Resistente al rayo, se usa para crear equipo.
Cuerno rayo de Kirin;Material de Kirin, obtenido rompiéndole el cuerno. Otorga propiedades de rayo.
Cuerno de Kirin celeste;Raro material de Kirin, obtenido al romper su cuerno. Contiene poder elemental de rayo.
Cuerno de Kirin Celeste+;Material muy raro de Kirin, obtenido al romper su cuerno. Añade propiedades de rayo.
Escama ígnea Zorah Magdaros;Material de Zorah Magdaros, obtenido sobre todo como recompensa. Tiene usos muy diversos.
Coraza de Zorah Magdaros;Material de Zorah Magdaros, obtenido de afloramientos mineros o al caérsele a la bestia. Sólido y útil para equipo.
Cresta de Zorah Magdaros;Raro material de Zorah Magdaros, obtenido sobre todo como recompensa. Sólido y útil para crear armadura.
Pleura de Zorah Magdaros;Raro material de Zorah Magdaros, obtenido al romperle el pecho. Pesado, útil para crear armadura.
Magma de Zorah Magdaros;Raro material de Zorah Magdaros, obtenido al romperle el cráneo. Poco común y difícil de trabajar.
Gema de Zorah Magdaros;Una rara gema formada entre los tejidos de Zorah Magdaros. Se usa para grandes mejoras de equipo.
Escama de dragón inmortal;Raro material de Nergigante, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Esquirla inmortal;Material de Nergigante Regio muy raro, obtenido cortándolo tras abatirlo. Tiene usos muy diversos.
Coraza de Nergigante;Raro material de Nergigante, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Córtex de Nergigante;Material de Nergigante Regio muy raro, obtenido como recompensa. Sólido, útil para crear equipo.
Cola de Nergigante;Raro material de Nergigante, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Flagelo de Nergigante;Material de Nergigante Regio muy raro, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Cuerno de Nergigante+;Raro material de Nergigante, obtenido al romperle los cuernos. Resistente y útil para hacer armas.
Gran cuerno aniquilador;Material de Nergigante Regio muy raro, obtenido al romperle los cuernos. Resistente y útil para hacer armas.
Garra de Nergigante;Raro material de Nergigante, obtenido sobre todo cortándolo tras abatirlo. Afilado y útil para crear armas.
Garra dura de Nergigante;Material de Nergigante Regio muy raro, obtenido al cortarlo tras abatirlo. Afilado y útil para crear armas.
Placa regeneración Nergigante;Raro material de Nergigante, obtenido tras dejarlo caer el monstruo. Raro, para equipo muy selecto.
Placa de regeneración eterna;Material de Nergigante Regio muy raro, se obtiene al desprenderse del monstruo. Raro, para equipo muy selecto.
Gema de Nergigante;Una rara gema formada entre los tejidos de Nergigante. Se usa para grandes mejoras de equipo.
Esquirla de cristal;Material muy raro de Velkhana, obtenido sobre todo cortándolo. Tiene multitud de usos.
Córtex de Velkhana;Material muy raro de Velkhana. Obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Aladura de Velkhana;Material muy raro de Velkhana. Obtenido al romperle las alas. Sólido, útil para crear equipo.
Cornacorona de Velkhana;Material muy raro de Velkhana. Obtenido rompiéndole el cráneo. Robusto, útil para crear equipo.
Látigo de Velkhana;Material muy raro de Velkhana, obtenido al cortar su cola cercenada. Sólido, útil para crear equipo.
Garra dura de Velkhana;Material de Velkhana raro obtenido al romperle las patas delanteras. Afilado y útil para crear armas.
Cristal de Velkhana;Material de Velkhana muy raro. Con él puedes crear armas con el poder para conquistar el mundo.
Coraza de Teostra;Raro material de Teostra, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Córtex de Teostra;Material muy raro de Teostra, obtenido sobre todo como recompensa. Sólido y útil para crear equipo.
Crin de Teostra;Raro material de Teostra, obtenido a menudo rompiéndole el cráneo. Muy resistente al fuego.
Crin de Teostra;Material muy raro de Teostra. Obtenido al romperle el cráneo. Muy resistente al fuego.
Cola de Teostra;Raro material de Teostra, obtenido al cortar su cola cercenada. Rígido, útil para crear equipo.
Látigo de Teostra;Material muy raro de Teostra. Obtenido al cortar su cola cercenada. Se usa para crear equipo.
Cuerno de Teostra+;Raro material de Teostra, obtenido al romperle el cráneo. Robusto, útil para crear armas.
Asta de Teostra;Material muy raro de Teostra. Obtenido al romperle el cráneo. Se usa para crear armas.
Escama de dragón de fuego+;Raro material de Teostra, a menudo obtenido cortándolo tras abatirlo. Tiene muchas utilidades.
Esquirla de llamas;Material muy raro de Teostra, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Garra de Teostra+;Raro material de Teostra, a menudo obtenido cortándolo tras abatirlo. Afilado y útil para crear armas.
Garra dura de dragón de fuego;Material muy raro de Teostra, obtenido cortándolo tras abatirlo. Afilado y útil para crear armas.
Membrana de Teostra;Raro material de Teostra, obtenido al romperle las alas. Flexible, útil para crear equipo.
Aladura de Teostra;Material muy raro de Teostra, obtenido rompiéndole las alas. Se usa para crear equipo.
Polvo de Teostra;Raro material de Teostra, obtenido al dejarlo caer el monstruo. Raro, para equipo muy selecto.
Gema de Teostra;Extraña joya formada en los tejidos del Teostra. Encapsula un poder inimaginable.
Coraza de Lunastra;Raro material de Lunastra, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Córtex de Lunastra;Material muy raro de Lunastra, obtenido sobre todo como recompensa. Sólido y útil para crear equipo.
Crin de Lunastra;Raro material de Lunastra. Sedosa y agradable al tacto, es un material muy codiciado.
Crin de Lunastra+;Material raro de Lunastra, obtenido al desprenderse del monstruo. Valioso y resistente al fuego.
Cola de Lunastra;Raro material de Lunastra, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Látigo de Lunastra;Material muy raro de Lunastra, obtenido al cortar su cola cercenada. Se usa para crear equipo.
Cuerno de Lunastra;Raro material de Lunastra, obtenido al romperle el cráneo. Robusto, útil para crear armas.
Asta de Lunastra;Material muy raro de Lunastra. Obtenido al romperle el cráneo. Útil para crear armas.
Escama de Lunastra+;Raro material de Lunastra, a menudo obtenido cortándola tras abatirla. Tiene muchas utilidades.
Esquirla de Lunastra;Material muy raro de Lunastra, obtenido sobre todo al cortarlo. Tiene multitud de usos.
Ala de Lunastra;Raro material de Lunastra, obtenido al romperle las alas. Flexible, útil para crear equipo.
Aladura de Lunastra;Material muy raro de Lunastra. Obtenido al romperle las alas. Útil para crear equipo.
Gema de Lunastra;Extraña joya formada entre los tejidos de la Lunastra. Encapsula un poder inimaginable.
Coraza de Daora;Raro material de Kushala Daora, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Córtex de Daora;Material muy raro de Kushala Daora, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Escama dragoniana de Daora+;Raro material de Kushala Daora, a menudo obtenido cortándolo tras abatirlo. Tiene muchas utilidades.
Esquirla de Daora;Material muy raro de Kushala Daora, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Membrana de Daora;Raro material de Kushala Daora, obtenido al romper sus alas. Útil para crear equipo por su ligereza.
Aladura de Daora;Material muy raro de Kushala Daora, obtenido al romper sus alas. Ligero, útil para crear equipo.
Cuerno de Daora+;Raro material de Kushala Daora, obtenido al quebrarlo de su cráneo. Grueso y útil para crear armas.
Asta de Daora;Material muy raro de Kushala Daora, obtenido rompiéndole el cráneo. Grueso y útil para crear armas.
Cola de Daora;Raro material de Kushala Daora, obtenida al cortar su cola cercenada. Rígida y útil para crear equipo.
Látigo de Daora;Material muy raro de Kushala Daora, obtenido al cortar su cola cercenada. Rígido y útil para crear equipo.
Garra afilada de Daora;Raro material de Kushala Daora, a menudo ganado cortándolo tras abatirlo. Imbuido del poder del elemento hielo.
Garra dura de Daora;Material muy raro de Kushala Daora, obtenido cortándolo tras abatirlo. Tiene el poder del elemento hielo.
Gema de Daora;Extraña joya formada entre los tejidos del Kushala Daora. Encapsula un poder inimaginable.
Escama fallecida;Raro material de Vaal Hazak, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Esquirla de difunto;Material de Vaal Hazak Espóreo, obtenido cortándolo tras abatirlo. Tiene muchas propiedades.
Coraza de Vaal Hazak;Raro material de Vaal Hazak, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Córtex de Vaal Hazak;Material de Vaal Hazak Espóreo, obtenido como recompensa. Sólido, útil para crear equipo.
Membrana de Vaal Hazak;Raro material de Vaal Hazak, obtenido al dejarlo caer el monstruo. Añade propiedades de draco.
Membrana tejedora de muerte;Material muy raro de Vaal Hazak Espóreo, obtenido del monstruo. Añade propiedades de draco.
Cola de Vaal Hazak;Raro material de Vaal Hazak, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Mayal de Vaal Hazak;Material de Vaal Hazak Espóreo, obtenido cortando su cola cercenada. Útil para crear equipo.
Colmillo de Vaal Hazak+;Raro material de Vaal Hazak, obtenido al romperle el cráneo. Afilado y útil para crear armas.
